Date,Hour,Year,Whale,Boat
9/14/20,23,2020,1,0
9/15/20,0,2020,1,0
9/15/20,1,2020,1,0
9/15/20,2,2020,1,0
9/15/20,3,2020,1,0
9/15/20,4,2020,1,0
9/15/20,5,2020,1,0
9/15/20,6,2020,1,0
9/15/20,7,2020,1,0
9/15/20,8,2020,1,0
9/15/20,9,2020,1,0
9/15/20,10,2020,1,0
9/15/20,11,2020,1,0
9/15/20,12,2020,1,0
9/15/20,13,2020,1,0
9/15/20,14,2020,1,0
9/15/20,15,2020,1,0
9/15/20,16,2020,1,0
9/15/20,17,2020,1,0
9/15/20,18,2020,1,0
9/15/20,19,2020,1,0
9/15/20,20,2020,1,0
9/15/20,21,2020,1,0
9/15/20,22,2020,1,0
9/15/20,23,2020,1,0
9/16/20,0,2020,1,0
9/16/20,1,2020,1,0
9/16/20,2,2020,1,0
9/16/20,3,2020,1,0
9/16/20,4,2020,1,0
9/16/20,5,2020,1,0
9/16/20,6,2020,1,0
9/16/20,7,2020,1,0
9/16/20,8,2020,1,0
9/16/20,9,2020,1,0
9/16/20,10,2020,1,0
9/16/20,11,2020,0,0
9/16/20,12,2020,1,0
9/16/20,13,2020,1,0
9/16/20,14,2020,1,0
9/16/20,15,2020,1,0
9/16/20,16,2020,1,0
9/16/20,17,2020,1,0
9/16/20,18,2020,1,0
9/16/20,19,2020,1,0
9/16/20,20,2020,1,0
9/16/20,21,2020,1,0
9/16/20,22,2020,1,0
9/16/20,23,2020,1,0
9/17/20,0,2020,1,0
9/17/20,1,2020,1,0
9/17/20,2,2020,1,0
9/17/20,3,2020,1,0
9/17/20,4,2020,1,0
9/17/20,5,2020,1,0
9/17/20,6,2020,1,0
9/17/20,7,2020,1,0
9/17/20,8,2020,1,0
9/17/20,9,2020,1,0
9/17/20,10,2020,1,0
9/17/20,11,2020,1,0
9/17/20,12,2020,1,0
9/17/20,13,2020,1,0
9/17/20,14,2020,1,0
9/17/20,15,2020,1,0
9/17/20,16,2020,1,0
9/17/20,17,2020,1,0
9/17/20,18,2020,1,0
9/17/20,19,2020,1,0
